,sample,bin_size,PC_pair,TH,RMSE
424,Sample_1,4.45,"3,5",-3,0.5641679425488687
425,Sample_1,2.2,"3,5",-2,0.6740046480918938
426,Sample_1,3.1,"3,5",-2,0.5493559446536092
427,Sample_1,1.8,"3,5",-2,0.6824505540509781
428,Sample_1,4.1,"3,5",-2,0.5706573319376388
429,Sample_1,3.5,"3,5",-3,0.6104447716878777
430,Sample_1,4.45,"3,5",-2,0.6409356151048317
431,Sample_1,1.65,"3,5",-1,0.6866330385430282
432,Sample_1,2.65,"3,5",-3,0.6478421143473437
433,Sample_1,2.2,"3,5",-1,0.5029696956930196
434,Sample_1,1.55,"3,5",-2,0.592098756033228
435,Sample_1,2.9,"3,5",-2,0.5708289560153306
436,Sample_1,4.7,"3,5",-3,0.6887065622201454
437,Sample_1,1.2,"3,5",-3,0.4524328130853737
438,Sample_1,4.5,"3,5",-3,0.5322176378800941
439,Sample_1,1.6,"3,5",-3,0.4050994911706309
440,Sample_1,1.1,"3,5",-1,0.5420724890613315
441,Sample_1,4.9,"3,5",-3,0.7126241815581907
442,Sample_1,4.6,"3,5",-3,0.7986622026461767
443,Sample_1,4.95,"3,5",-3,0.6681373882642065
444,Sample_1,2.15,"3,5",-1,0.5419646369423944
445,Sample_1,0.6,"3,5",-1,0.6120136117407884
446,Sample_1,2.05,"3,5",-2,0.6159732932001046
447,Sample_1,0.95,"3,5",-3,0.47255612468595726
448,Sample_1,0.3,"3,5",-1,0.3360945978792008
449,Sample_1,1.25,"3,5",-1,0.5157337420437393
450,Sample_1,2.1,"3,5",-1,0.6681937965481392
451,Sample_1,4.25,"3,5",-1,0.6835885296402822
452,Sample_1,4.4,"3,5",-2,0.6077905908174951
453,Sample_1,0.6,"3,5",-2,0.5338659554925322
454,Sample_1,0.35,"3,5",-3,0.5085764729913492
455,Sample_1,2.75,"3,5",-3,0.5161795528864455
456,Sample_1,4.2,"3,5",-1,0.6811699984928128
457,Sample_1,3.4,"3,5",-2,0.5649558568679374
458,Sample_1,0.8,"3,5",-3,0.3588138331501302
459,Sample_1,0.65,"3,5",-1,0.5919969025581218
460,Sample_1,4.05,"3,5",-3,0.7518675693233987
461,Sample_1,0.9,"3,5",-2,0.5706504979667579
462,Sample_1,4.8,"3,5",-2,0.674369582320389
463,Sample_1,4.5,"3,5",-2,0.568117595415786
464,Sample_1,1.2,"3,5",-2,0.6198911086275504
465,Sample_1,4.85,"3,5",-1,0.650869481841592
466,Sample_1,2.3,"3,5",-2,0.6349581634047659
467,Sample_1,4.05,"3,5",-1,0.6219257101835161
468,Sample_1,2.9,"3,5",-3,0.6529900885421982
469,Sample_1,2.25,"3,5",-1,0.6985982588883474
470,Sample_1,2.35,"3,5",-2,0.6233409385106194
471,Sample_1,3.9,"3,5",-1,0.5680859283331885
472,Sample_1,3.15,"3,5",-2,0.6312851252608532
473,Sample_1,4.4,"3,5",-3,0.59467053951074
474,Sample_1,2.45,"3,5",-1,0.6796910249077944
475,Sample_1,1.15,"3,5",-3,0.7549950413281356
476,Sample_1,2.5,"3,5",-3,0.739943408954578
477,Sample_1,5.0,"3,5",-1,0.7044843929269826
478,Sample_1,3.75,"3,5",-2,0.5589999622999582
479,Sample_1,2.85,"3,5",-1,0.7079028355077283
